Brookwood Baptist	0	0
East Alabama Med Ctr	0	0
HES/Crestwood	0	0
North Alabama Med Ctr	0	0
Southeast Health	0	0
Thomas Hospital	0	0
U of Alabama Huntsville	0	0
U Alabama Birmingham (UAB)	IN_PERSON	0
U Alabama Montgomery	IN_PERSON	no, post program rank list submission
U South Alabama (USA)	0	0
U Washington Alaska Rural	0	0
Abrazo Health	0	0
Creighton U Phoenix	0	0
Dignity Health East Valley	0	0
HonorHealth	0	0
Mayo AZ	IN_PERSON	No, post-program rank list submission
Midwestern U Canyon Vista	0	0
Midwestern U Mountain Vista	0	0
Midwestern U Verde Valley	0	0
Health Education Services/Northwest Healthcare (Tucson) Program NEW	0	0
U Arizona Phoenix	0	0
U Arizona Tucson	0	0
Tucson Hospitals	0	0
Arkansas COM Mercy	0	0
Baptist Health UAMS	0	0
Baptist Jonesboro	0	0
CHI St. Vincent	IN_PERSON	0
Conway	0	0
St. Bernards Med Ctr	IN_PERSON	none per PD
Unity White County	0	0
UAMS	0	0
UAMS Northwest (Fayetteville)	0	0
White River	IN_PERSON	0
Adventist Health White Memorial	0	0
Alameda Highland	0	0
Arrowhead	0	0
California Pacific	0	0
Cedars-Sinai	0	0
Charles R. Drew U	0	0
College Med Ctr	0	0
Community Memorial	0	0
Desert Valley	0	0
Eisenhower	0	0
HCA Riverside	IN_PERSON	0
HCA Los Robles	0	0
Harbor UCLA	0	0
Huntington Memorial	0	0
Kaiser Inland Empire	0	0
Kaiser Los Angeles	0	0
Kaiser Oakland	0	0
Kaiser San Francisco	0	0
Kaiser Santa Clara	0	0
Kern	0	0
KPC Health	0	0
Loma Linda U	0	0
Loma Linda U Murrieta	0	0
Martin Luther King Jr.	0	0
Naval Med Ctr (San Diego)	0	0
North East Medical Services	IN_PERSON	0
Olive View UCLA	IN_PERSON	
Prime West/Centinela	0	0
Prime West Consortium NEW	0	0
Prime West/West Anaheim	0	0
Riverside U Health System	0	0
San Joaquin	IN_PERSON	0
San Ysidro	0	0
Santa Barbara Cottage	0	0
Santa Clara Valley	0	0
Scripps Green	IN_PERSON	None
Scripps Mercy	0	0
Sierra View	0	0
St. Agnes Fresno	0	0
St. Joseph's Med Ctr	0	0
St. Mary Med Ctr (LB)	0	0
St. Mary's Hospital and Med Ctr (SF)	0	0
Stanford	VIRTUAL	Not specified -> no bearing on ROL upon email clarification (no members of leadeship attending the virtual Second Look)
Sutter	0	0
UC Davis	0	0
UC Irvine	0	0
UCLA	0	0
UC San Diego (UCSD)	0	0
UCSF	0	0
UCSF Fresno	0	0
UC Riverside/St. Bernardine	0	0
UHS So Cal	0	0
USC	0	0
HCA HealthONE	0	0
Parkview	0	0
Saint Joseph	0	0
U Colorado	VIRTUAL	0
Bridgeport Yale	0	0
Danbury	0	0
Greenwich Yale	IN_PERSON	no members of leadership attending the virtual second look (so, no)
Griffin	0	0
Norwalk Yale	0	0
